"D2015","D2015 - Nominal","K2015 ","D2020","D2020 - Nominal","T2020","BIEDRON","BOSAK","DUDA","HOŁOWNIA","JAKUBIAK","KOS-KAM","PIOTROWSKI","TANAJNO","TRZASK","WITK","ŻÓŁTEK","KO","KONF","PSL","PIS","SLD","NP","NoLegVot - T1 2020","NoLegVot - T2 2020","NoVoters - T1 2020","NoVoters - T2 2020","VotFreq T1 2020","VotFreq T2 2020"
86.15,"D",13.85,87.15,"D",12.85,0.23,6.15,78.17,5.46,0.09,2.89,0.09,0.18,6.42,0.05,0.28,2.72,4.54,10.09,79.3,2.24,1.07,2193,2389,2931,2891,74.38,82.64
64.01,"D",35.99,74.69,"D",25.31,1.56,6.11,67.36,7.9,0.04,3.84,0.15,0.11,12.63,0.04,0.26,5.05,3.99,10.43,60.23,19.89,0.41,2698,2936,4486,4471,59.83,65.67
56.04,"D",43.96,62.5,"D",37.5,1.5,6.52,52.51,16.26,0.07,3.51,0.07,0.36,18.98,0.14,0.07,16.76,7.25,10.78,55.8,9.42,,1404,1424,2392,2377,58.36,59.91
80.63,"D",19.37,81.69,"D",18.31,1.13,9.67,70.94,7.28,0.12,2.27,0.08,0.04,8.25,0.0,0.22,6.95,7.72,7.12,72.02,4.52,0.85,4981,5478,8039,7985,61.85,68.6
74.0,"D",26.0,72.81,"D",27.19,1.16,6.74,61.88,8.94,0.19,6.45,0.02,0.12,14.18,0.1,0.22,6.2,5.13,23.48,57.41,7.11,0.65,4142,4535,7047,7031,58.55,64.5
39.85,"T",60.15,51.1,"D",48.9,1.89,4.02,43.91,26.58,0.15,2.76,0.15,0.15,20.23,0.07,0.11,29.53,4.28,8.87,42.37,13.39,0.78,2773,3057,5853,5702,47.12,53.61
37.35,"T",62.65,46.18,"T",53.82,1.32,9.58,38.16,20.74,0.23,1.94,0.1,0.13,27.46,0.13,0.2,23.54,8.25,8.99,34.65,8.07,,3050,3166,6099,6035,49.8,52.46
48.62,"T",51.38,56.61,"D",43.39,1.98,6.18,48.41,16.22,0.18,2.01,0.05,0.14,24.73,0.02,0.07,27.04,6.63,7.52,47.99,7.92,2.9,4395,4600,7707,7612,56.87,60.43
39.11,"T",60.89,51.81,"D",48.19,1.5,4.15,48.09,13.18,0.0,2.9,0.0,0.05,30.03,0.0,0.1,26.99,4.51,10.06,46.82,11.62,,2087,2287,3784,3835,54.73,59.63
34.57,"T",65.43,35.89,"T",64.11,2.99,5.77,28.35,18.8,0.18,3.69,0.12,0.03,39.69,0.09,0.29,32.24,7.39,12.91,30.23,17.23,,3423,3622,5352,5379,63.79,67.34
